Technique,Model,F1 Score,Parameters,Fold
RandomUnderSampler,KNeighborsClassifier,0.6846262937193012,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",14
RandomUnderSampler,KNeighborsClassifier,0.6818690823478708,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",15
RandomUnderSampler,KNeighborsClassifier,0.6818690823478708,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",16
RandomUnderSampler,KNeighborsClassifier,0.6917734666753632,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}",17
RandomUnderSampler,KNeighborsClassifier,0.6917734666753632,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",18
RandomUnderSampler,KNeighborsClassifier,0.6935566672385101,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",19
RandomUnderSampler,KNeighborsClassifier,0.6935566672385101,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}",20
RandomUnderSampler,KNeighborsClassifier,0.6409967198319444,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",21
RandomUnderSampler,KNeighborsClassifier,0.6409967198319444,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",22
RandomUnderSampler,KNeighborsClassifier,0.6409967198319444,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",23
RandomUnderSampler,KNeighborsClassifier,0.6409967198319444,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",24
RandomUnderSampler,KNeighborsClassifier,0.6642582051304625,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",25
RandomUnderSampler,KNeighborsClassifier,0.6642582051304625,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",26
RandomUnderSampler,KNeighborsClassifier,0.6642582051304625,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",27
RandomUnderSampler,KNeighborsClassifier,0.6642582051304625,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",28
RandomUnderSampler,KNeighborsClassifier,0.6771676828703752,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",29
RandomUnderSampler,KNeighborsClassifier,0.6771676828703752,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",30
RandomUnderSampler,KNeighborsClassifier,0.6771676828703752,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",31
RandomUnderSampler,KNeighborsClassifier,0.6771676828703752,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",32
RandomUnderSampler,KNeighborsClassifier,0.6818690823478708,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",33
RandomUnderSampler,KNeighborsClassifier,0.6818690823478708,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",34
RandomUnderSampler,KNeighborsClassifier,0.6818690823478708,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",35
RandomUnderSampler,KNeighborsClassifier,0.6818690823478708,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",36
RandomUnderSampler,KNeighborsClassifier,0.6935566672385101,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}",37
RandomUnderSampler,KNeighborsClassifier,0.6935566672385101,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",38
RandomUnderSampler,KNeighborsClassifier,0.6935566672385101,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",39
RandomUnderSampler,KNeighborsClassifier,0.6935566672385101,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}",40
RandomUnderSampler,KNeighborsClassifier,0.6449453533947547,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",41
RandomUnderSampler,KNeighborsClassifier,0.6449453533947547,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",42
RandomUnderSampler,KNeighborsClassifier,0.6449453533947547,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",43
RandomUnderSampler,KNeighborsClassifier,0.6449453533947547,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",44
RandomUnderSampler,KNeighborsClassifier,0.6622970206409923,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",45
RandomUnderSampler,KNeighborsClassifier,0.6622970206409923,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",46
RandomUnderSampler,KNeighborsClassifier,0.6622970206409923,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",47
RandomUnderSampler,KNeighborsClassifier,0.6622970206409923,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",48
RandomUnderSampler,KNeighborsClassifier,0.6783099339190118,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",49
RandomUnderSampler,KNeighborsClassifier,0.6783099339190118,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",50
RandomUnderSampler,KNeighborsClassifier,0.6783099339190118,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",51
RandomUnderSampler,KNeighborsClassifier,0.6783099339190118,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",52
RandomUnderSampler,KNeighborsClassifier,0.6846262937193012,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",53
RandomUnderSampler,KNeighborsClassifier,0.6846262937193012,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",54
RandomUnderSampler,KNeighborsClassifier,0.6846262937193012,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",55
RandomUnderSampler,KNeighborsClassifier,0.6846262937193012,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",56
RandomUnderSampler,KNeighborsClassifier,0.6917734666753632,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}",57
RandomUnderSampler,KNeighborsClassifier,0.6917734666753632,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",58
RandomUnderSampler,KNeighborsClassifier,0.6917734666753632,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",59
RandomUnderSampler,KNeighborsClassifier,0.6917734666753632,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}",60
RandomUnderSampler,KNeighborsClassifier,0.6449453533947547,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",61
RandomUnderSampler,KNeighborsClassifier,0.6449453533947547,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",62
RandomUnderSampler,KNeighborsClassifier,0.6409967198319444,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",63
RandomUnderSampler,KNeighborsClassifier,0.6409967198319444,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",64
RandomUnderSampler,KNeighborsClassifier,0.6622970206409923,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",65
RandomUnderSampler,KNeighborsClassifier,0.6622970206409923,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",66
RandomUnderSampler,KNeighborsClassifier,0.6642582051304625,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",67
RandomUnderSampler,KNeighborsClassifier,0.6642582051304625,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",68
RandomUnderSampler,KNeighborsClassifier,0.6783099339190118,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",69
RandomUnderSampler,KNeighborsClassifier,0.6783099339190118,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",70
RandomUnderSampler,KNeighborsClassifier,0.6771676828703752,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",71
RandomUnderSampler,KNeighborsClassifier,0.6771676828703752,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",72
RandomUnderSampler,KNeighborsClassifier,0.6846262937193012,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",73
RandomUnderSampler,KNeighborsClassifier,0.6846262937193012,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",74
RandomUnderSampler,KNeighborsClassifier,0.6818690823478708,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",75
RandomUnderSampler,KNeighborsClassifier,0.6818690823478708,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",76
RandomUnderSampler,KNeighborsClassifier,0.6917734666753632,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}",77
RandomUnderSampler,KNeighborsClassifier,0.6917734666753632,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",78
RandomUnderSampler,KNeighborsClassifier,0.6935566672385101,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",79
RandomUnderSampler,KNeighborsClassifier,0.6935566672385101,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}",80
RandomUnderSampler,KNeighborsClassifier,0.6409967198319444,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'euclidean', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",81
RandomUnderSampler,KNeighborsClassifier,0.6409967198319444,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'euclidean', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",82
RandomUnderSampler,KNeighborsClassifier,0.6409967198319444,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'euclidean', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",83
RandomUnderSampler,KNeighborsClassifier,0.6409967198319444,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'euclidean', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",84
RandomUnderSampler,KNeighborsClassifier,0.6642582051304625,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'euclidean', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",85
RandomUnderSampler,KNeighborsClassifier,0.6642582051304625,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'euclidean', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",86
RandomUnderSampler,KNeighborsClassifier,0.6642582051304625,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'euclidean', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",87
RandomUnderSampler,KNeighborsClassifier,0.6642582051304625,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'euclidean', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",88
RandomUnderSampler,KNeighborsClassifier,0.6771676828703752,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'euclidean', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",89
RandomUnderSampler,KNeighborsClassifier,0.6771676828703752,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'euclidean', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",90
RandomUnderSampler,KNeighborsClassifier,0.6771676828703752,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'euclidean', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",91
RandomUnderSampler,KNeighborsClassifier,0.6771676828703752,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'euclidean', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",92
RandomUnderSampler,KNeighborsClassifier,0.6818690823478708,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'euclidean', 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",93
RandomUnderSampler,KNeighborsClassifier,0.6818690823478708,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'euclidean', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",94
RandomUnderSampler,KNeighborsClassifier,0.6818690823478708,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'euclidean', 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",95
RandomUnderSampler,KNeighborsClassifier,0.6818690823478708,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'euclidean', 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",96
RandomUnderSampler,KNeighborsClassifier,0.6935566672385101,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'euclidean', 'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}",97
RandomUnderSampler,KNeighborsClassifier,0.6935566672385101,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'euclidean', 'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",98
RandomUnderSampler,KNeighborsClassifier,0.6935566672385101,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'euclidean', 'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",99
RandomUnderSampler,KNeighborsClassifier,0.6935566672385101,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'euclidean', 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}",100
RandomUnderSampler,KNeighborsClassifier,0.6449453533947547,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'manhattan', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",101
RandomUnderSampler,KNeighborsClassifier,0.6449453533947547,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'manhattan', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",102
RandomUnderSampler,KNeighborsClassifier,0.6449453533947547,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'manhattan', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",103
RandomUnderSampler,KNeighborsClassifier,0.6449453533947547,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'manhattan', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",104
RandomUnderSampler,KNeighborsClassifier,0.6622970206409923,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'manhattan', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",105
RandomUnderSampler,KNeighborsClassifier,0.6622970206409923,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'manhattan', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",106
RandomUnderSampler,KNeighborsClassifier,0.6622970206409923,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'manhattan', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",107
RandomUnderSampler,KNeighborsClassifier,0.6622970206409923,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'manhattan', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",108
RandomUnderSampler,KNeighborsClassifier,0.6783099339190118,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'manhattan', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",109
RandomUnderSampler,KNeighborsClassifier,0.6783099339190118,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'manhattan', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",110
RandomUnderSampler,KNeighborsClassifier,0.6783099339190118,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'manhattan', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",111
RandomUnderSampler,KNeighborsClassifier,0.6783099339190118,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'manhattan', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",112
RandomUnderSampler,KNeighborsClassifier,0.6846262937193012,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'manhattan', 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",113
RandomUnderSampler,KNeighborsClassifier,0.6846262937193012,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'manhattan', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",114
RandomUnderSampler,KNeighborsClassifier,0.6846262937193012,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'manhattan', 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",115
RandomUnderSampler,KNeighborsClassifier,0.6846262937193012,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'manhattan', 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",116
RandomUnderSampler,KNeighborsClassifier,0.6917734666753632,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'manhattan', 'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}",117
RandomUnderSampler,KNeighborsClassifier,0.6917734666753632,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'manhattan', 'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",118
RandomUnderSampler,KNeighborsClassifier,0.6917734666753632,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'manhattan', 'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",119
RandomUnderSampler,KNeighborsClassifier,0.6917734666753632,"{'algorithm': 'ball_tree', 'leaf_size': 20, 'metric': 'manhattan', 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}",120
RandomUnderSampler,KNeighborsClassifier,0.6449453533947547,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",121
RandomUnderSampler,KNeighborsClassifier,0.6449453533947547,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",122
RandomUnderSampler,KNeighborsClassifier,0.6409967198319444,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",123
RandomUnderSampler,KNeighborsClassifier,0.6409967198319444,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",124
RandomUnderSampler,KNeighborsClassifier,0.6622970206409923,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",125
RandomUnderSampler,KNeighborsClassifier,0.6622970206409923,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",126
RandomUnderSampler,KNeighborsClassifier,0.6642582051304625,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",127
RandomUnderSampler,KNeighborsClassifier,0.6642582051304625,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",128
RandomUnderSampler,KNeighborsClassifier,0.6783099339190118,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",129
RandomUnderSampler,KNeighborsClassifier,0.6783099339190118,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",130
RandomUnderSampler,KNeighborsClassifier,0.6771676828703752,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",131
RandomUnderSampler,KNeighborsClassifier,0.6771676828703752,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",132
RandomUnderSampler,KNeighborsClassifier,0.6846262937193012,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",133
RandomUnderSampler,KNeighborsClassifier,0.6846262937193012,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",134
RandomUnderSampler,KNeighborsClassifier,0.6818690823478708,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",135
RandomUnderSampler,KNeighborsClassifier,0.6818690823478708,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",136
